ubigeo,population,rural_pop,capital_pop,ccpp_count,primary_care_n,area_sqkm,department,province,district,rural_share,settlement_dispersion,population_density,primary_care_per_10k,altitude_m
010706,9458.0,6357.0,2582.0,74.0,12.0,364.2139207,AMAZONAS,UTCUBAMBA,LONYA GRANDE,0.6721294142524846,0.7270035948403468,25.968255089817053,12.687671812222456,1365.0
010707,3020.0,2436.0,148.0,36.0,6.0,136.02010197,AMAZONAS,UTCUBAMBA,YAMON,0.8066225165562914,0.9509933774834437,22.202600617562233,19.867549668874172,1028.0
020101,56261.0,5884.0,48470.0,141.0,45.0,422.67675628,ANCASH,HUARAZ,HUARAZ,0.10458399246369599,0.13847958621425138,133.1064440239297,7.998435861431543,3089.0
020102,2060.0,1590.0,470.0,75.0,3.0,138.26550939,ANCASH,HUARAZ,COCHABAMBA,0.7718446601941747,0.7718446601941747,14.89887108569817,14.563106796116505,2631.0
020103,653.0,294.0,359.0,14.0,1.0,52.02236414,ANCASH,HUARAZ,COLCABAMBA,0.450229709035222,0.4502297090352221,12.55229382199315,15.313935681470138,2280.0
020104,2517.0,2119.0,398.0,80.0,2.0,208.86069527,ANCASH,HUARAZ,HUANCHAY,0.841875248311482,0.841875248311482,12.051094614744073,7.945967421533572,1878.0
020105,62937.0,12383.0,47581.0,120.0,28.0,345.53274703,ANCASH,HUARAZ,INDEPENDENCIA,0.19675230786341896,0.2439900217677995,182.14481996560417,4.448893337782227,3508.0
020106,4403.0,2639.0,1464.0,30.0,3.0,62.26104285,ANCASH,HUARAZ,JANGAS,0.5993640699523053,0.6674994322053145,70.71837859522779,6.813536225300931,3093.0
020107,1294.0,954.0,340.0,50.0,1.0,148.37712099,ANCASH,HUARAZ,LA LIBERTAD,0.7372488408037094,0.7372488408037094,8.721021080380783,7.727975270479134,3460.0
020108,2581.0,1189.0,272.0,25.0,4.0,230.77785712,ANCASH,HUARAZ,OLLEROS,0.4606741573033708,0.8946144905075553,11.18391526903697,15.497869043006586,3430.0
020109,1320.0,908.0,412.0,89.0,1.0,351.66603262,ANCASH,HUARAZ,PAMPAS GRANDE,0.6878787878787879,0.6878787878787879,3.7535612699516907,7.575757575757576,3511.5
020110,4461.0,3181.0,1280.0,47.0,3.0,168.12611493,ANCASH,HUARAZ,PARIACOTO,0.7130688186505267,0.7130688186505267,26.53365303693216,6.724949562878279,1130.5
